symbol,name,group,watchlist_section,shortable,borrow_status,bars,first_date,last_date,realised_vol,dollar_volume,bh_cagr,bh_max_drawdown,both_cagr,both_sharpe,both_calmar,both_max_drawdown,both_exposure,both_turnover,both_trades,long_cagr,long_sharpe,long_calmar,long_max_drawdown,long_exposure,long_turnover,long_trades,short_cagr,short_sharpe,short_calmar,short_max_drawdown,short_exposure,short_turnover,short_trades,d_cagr,d_sharpe,d_calmar,d_ddred,both_beats_bh,long_beats_bh
A,Agilent Technologies Inc.,Individual equity,,1,easy_to_borrow,2679,2016-01-04,2026-08-28,0.2837435458241946,179805343.60999998,0.1422562716993614,-0.43194821707218434,0.14775369723101517,0.8084501092553527,0.5268690142577824,-0.28043724954894267,0.5475923852183651,17.02575587905935,92,0.138569002631741,1.0471745054102692,0.579441065638512,-0.2391425303607807,0.3598357596117954,9.688689809630459,53,0.016395063985626956,0.18498679500278462,0.053726887795996936,-0.30515566149819895,0.19746173945502052,7.525195968645017,40,0.009184694599274179,-0.23872439615491658,-0.05257205138072962,-0.041294719188161966,True,False
AAL,American Airlines Group Inc. Common Stock,Individual equity,,1,easy_to_borrow,2679,2016-01-04,2026-08-28,0.522958815381433,419452447.28,-0.09431279964987593,-0.8413756799438501,0.09608926622816316,0.4404766751732047,0.12505815269799836,-0.768356673716492,0.5569242254572602,19.001119820828666,102,0.05882419596639066,0.4030261624835318,0.1938628516625086,-0.3034320163039609,0.25830533781261666,9.40649496080627,51,0.03013137445684766,0.2579887868491654,0.03844833590323658,-0.7836847486112187,0.3027248973497574,9.970884658454647,53,0.037265070261772504,0.03745051268967292,-0.06880469896451025,-0.4649246574125311,True,True
AAPL,Apple Inc. Common Stock,Individual equity,Mega-cap 7,1,easy_to_borrow,2679,2016-01-04,2026-08-28,0.2892155193435378,8405431100.64,0.2773505422429434,-0.38507843852608525,0.2904988114030478,1.3487400615764358,1.5222676249677471,-0.19083294332637646,0.6170212765957447,18.06047032474804,98,0.2751617809047999,1.9185635462283397,2.875788023674789,-0.0956822194958542,0.4315042926465099,10.72340425531915,57,0.019249536390308464,0.19932912945881695,0.06070983462008041,-0.31707443301025695,0.19074281448301605,7.525195968645017,42,0.015337030498247861,-0.5698234846519039,-1.3535203987070417,-0.09515072383052225,True,False
ABBV,ABBVIE INC.,Individual equity,,1,easy_to_borrow,2679,2016-01-04,2026-08-28,0.2613319122253416,636551025.66,0.1989244250668376,-0.45093485077226747,0.15509706208425178,0.9485673035494474,0.47452629299000537,-0.3268460870881995,0.5442329227323628,15.802911534154534,84,0.15818276840399692,1.257822567869803,0.8291471791411857,-0.1907776717854115,0.3762597984322508,10.159014557670773,54,0.0027859138439210174,0.08167352396033448,0.010137414353315263,-0.27481503140985186,0.1858902575587906,6.7726763717805145,36,-0.0030857063197451406,-0.30925526432035555,-0.35462088615118037,-0.13606841530278801,False,False
ABNB,"Airbnb, Inc. Class A Common Stock",Individual equity,,1,easy_to_borrow,1435,2020-12-10,2026-08-28,0.4609127140177901,640254245.98,0.04842555665348236,-0.6195812580704668,0.11556060105015087,0.5015409419743038,0.30146124440486377,-0.3833348504823143,0.5456445993031359,18.08780487804878,51,0.1740887275169909,0.8406528360926374,0.9468574382364494,-0.183859491922286,0.30313588850174217,8.956097560975609,25,-0.0359434709695603,-0.03806925950114069,-0.09056449897077545,-0.39688256853448733,0.26480836236933797,10.185365853658537,29,-0.058528126466840025,-0.33911189411833365,-0.6453961938315856,-0.1994753585600283,True,True
ABT,Abbott Laboratories,Individual equity,,1,easy_to_borrow,2679,2016-01-04,2026-08-28,0.2404695364127309,484361628.65999997,0.11633145889943308,-0.39636256534864844,0.10087536746165005,0.6787649667422249,0.3548525272283872,-0.28427405674562234,0.576334453154162,17.02575587905935,92,0.10797265398395584,0.9616935338088416,0.5602460011567876,-0.19272364954147914,0.3725270623366928,9.876819708846584,53,-0.008833983267644507,-0.017841520523176353,-0.025214096036321774,-0.35035891252729623,0.21537887271369915,7.901455767077267,43,-0.00709728652230579,-0.28292856706661673,-0.20539347392840035,-0.0915504072041432,False,False
ACGL,Arch Capital Group Ltd. Common Stock,Individual equity,,1,easy_to_borrow,2679,2016-01-04,2026-08-28,0.270671856940495,70172248.3,0.152693762546938,-0.5383104125736737,0.1149824331432392,0.6702977984019117,0.30358342515362224,-0.3787506945909668,0.5531914893617021,17.11982082866741,95,0.1275946615099146,1.0479390787800353,0.5984556275857807,-0.21320655304828862,0.375886524822695,9.970884658454647,56,-0.014448751414665395,-0.026346378332214173,-0.031307150258506736,-0.46151602095241484,0.1963419186263531,7.901455767077267,43,-0.012612228366675415,-0.3776412803781236,-0.2948722024321585,-0.16554414154267816,False,False
ACHR,Archer Aviation Inc.,Individual equity,,1,easy_to_borrow,1429,2020-12-18,2026-08-28,0.8239149124138587,24105710.16,-0.09249666980332283,-0.9049008168028008,0.6085782992444855,1.1513617588726766,1.3785278343951572,-0.44146972158273845,0.5255423372988104,15.871238628411476,47,0.32278384526790327,0.9378123961872391,1.1932494637399416,-0.2705082676142323,0.16375087473757874,8.81735479356193,27,0.26805665343191354,0.7893754317991051,0.6716968024329275,-0.3990738864037996,0.37928621413575925,6.701189643107067,21,0.2857944539765822,0.21354936268543745,0.18527837065521569,-0.17096145396850615,True,True
ACN,Accenture PLC,Individual equity,,1,easy_to_borrow,2679,2016-01-04,2026-08-28,0.27846883421231333,513917656.56,0.07752377380555209,-0.6804839503614091,0.20528822626656562,1.0585101282137273,0.9245510829615792,-0.22204097756175212,0.5882792086599478,17.590145576707727,94,0.17617031319048793,1.3426116018928507,1.181810979561594,-0.1490680965376039,0.4176931690929451,10.06494960806271,53,0.036971798436831405,0.3172889767361285,0.17039828628562065,-0.21697283020123503,0.17431877566256065,7.713325867861142,42,0.029117913076077695,-0.2841014736791234,-0.2572598966000149,-0.07297288102414823,True,True
ACWI,iShares MSCI ACWI ETF,Broad index ETF,,1,easy_to_borrow,2679,2016-01-04,2026-08-28,0.17041230268161484,224070565.81999996,0.1275473069823838,-0.33515507583003135,0.10280128162994329,0.8626042456977326,0.7510750441656175,-0.13687218398282297,0.606942889137738,18.530795072788354,102,0.1177687086891046,1.5056595656498375,1.7573663453066042,-0.0670143189003416,0.5020530048525569,11.193729003359461,60,-0.011239477438670264,-0.06932072831778312,-0.05477262871660596,-0.20520244695253564,0.11459499813363196,7.901455767077267,46,-0.01496742705916132,-0.6430553199521049,-1.0062913011409866,-0.06985786508248137,False,False
ADBE,Adobe Inc. Common Stock,Individual equity,,1,easy_to_borrow,2679,2016-01-04,2026-08-28,0.3453451733752173,1064382060.46,0.11462460324584556,-0.7190319159754207,0.1549200468536025,0.7552677807193199,0.5575724942747032,-0.2778473623508353,0.5927584919746174,17.966405375139978,96,0.16762995976798822,1.1097648092231447,0.6853701432028937,-0.2445831080189962,0.3814856289660321,10.06494960806271,53,0.0053217197104376,0.11576257889946562,0.015305054648190732,-0.3477099450322251,0.22545726017170586,8.277715565509519,45,-0.012709912914385724,-0.3544970285038248,-0.12779764892819045,-0.033264254331839105,True,True
