symbol,group,watchlist_section,fast_date,fast_direction,confirming_variant,confirming_label,confirmed,confirmation_date,lag_bars
A,Individual equity,,2016-03-02,long,classic,Classic 55/20,True,2016-04-14,30
A,Individual equity,,2016-03-02,long,medium,Medium 40/20,True,2016-03-21,13
A,Individual equity,,2016-03-02,long,slow,Slow 100/50,True,2016-06-24,80
A,Individual equity,,2016-06-24,long,classic,Classic 55/20,True,2016-07-21,18
A,Individual equity,,2016-06-24,long,medium,Medium 40/20,True,2016-07-21,18
A,Individual equity,,2016-06-24,long,slow,Slow 100/50,True,2016-06-24,0
A,Individual equity,,2016-06-28,short,classic,Classic 55/20,True,2016-10-26,84
A,Individual equity,,2016-06-28,short,medium,Medium 40/20,True,2016-09-12,52
A,Individual equity,,2016-06-28,short,slow,Slow 100/50,False,,
A,Individual equity,,2016-07-21,long,classic,Classic 55/20,True,2016-07-21,0
A,Individual equity,,2016-07-21,long,medium,Medium 40/20,True,2016-07-21,0
A,Individual equity,,2016-07-21,long,slow,Slow 100/50,True,2016-07-21,0
A,Individual equity,,2016-09-12,short,classic,Classic 55/20,True,2016-10-26,32
A,Individual equity,,2016-09-12,short,medium,Medium 40/20,True,2016-09-12,0
A,Individual equity,,2016-09-12,short,slow,Slow 100/50,False,,
A,Individual equity,,2016-10-26,short,classic,Classic 55/20,True,2016-10-26,0
A,Individual equity,,2016-10-26,short,medium,Medium 40/20,True,2016-10-26,0
A,Individual equity,,2016-10-26,short,slow,Slow 100/50,False,,
A,Individual equity,,2016-11-11,long,classic,Classic 55/20,True,2017-01-09,38
A,Individual equity,,2016-11-11,long,medium,Medium 40/20,True,2017-01-09,38
A,Individual equity,,2016-11-11,long,slow,Slow 100/50,True,2017-01-12,41
A,Individual equity,,2017-01-05,long,classic,Classic 55/20,True,2017-01-09,2
A,Individual equity,,2017-01-05,long,medium,Medium 40/20,True,2017-01-09,2
A,Individual equity,,2017-01-05,long,slow,Slow 100/50,True,2017-01-12,5
A,Individual equity,,2017-02-09,long,classic,Classic 55/20,True,2017-02-09,0
A,Individual equity,,2017-02-09,long,medium,Medium 40/20,True,2017-02-09,0
A,Individual equity,,2017-02-09,long,slow,Slow 100/50,True,2017-02-09,0
A,Individual equity,,2017-04-25,long,classic,Classic 55/20,True,2017-04-26,1
A,Individual equity,,2017-04-25,long,medium,Medium 40/20,True,2017-04-26,1
A,Individual equity,,2017-04-25,long,slow,Slow 100/50,True,2017-04-26,1
A,Individual equity,,2017-05-24,long,classic,Classic 55/20,True,2017-05-24,0
A,Individual equity,,2017-05-24,long,medium,Medium 40/20,True,2017-05-24,0
A,Individual equity,,2017-05-24,long,slow,Slow 100/50,True,2017-05-24,0
A,Individual equity,,2017-07-14,long,classic,Classic 55/20,True,2017-07-14,0
A,Individual equity,,2017-07-14,long,medium,Medium 40/20,True,2017-07-14,0
A,Individual equity,,2017-07-14,long,slow,Slow 100/50,True,2017-07-14,0
A,Individual equity,,2017-08-11,short,classic,Classic 55/20,True,2018-02-09,125
A,Individual equity,,2017-08-11,short,medium,Medium 40/20,True,2017-12-06,81
A,Individual equity,,2017-08-11,short,slow,Slow 100/50,False,,
A,Individual equity,,2017-08-23,long,classic,Classic 55/20,True,2017-08-23,0
A,Individual equity,,2017-08-23,long,medium,Medium 40/20,True,2017-08-23,0
A,Individual equity,,2017-08-23,long,slow,Slow 100/50,True,2017-08-23,0
A,Individual equity,,2017-10-09,long,classic,Classic 55/20,True,2017-10-09,0
A,Individual equity,,2017-10-09,long,medium,Medium 40/20,True,2017-10-09,0
A,Individual equity,,2017-10-09,long,slow,Slow 100/50,True,2017-10-09,0
A,Individual equity,,2017-11-17,long,classic,Classic 55/20,True,2017-11-17,0
A,Individual equity,,2017-11-17,long,medium,Medium 40/20,True,2017-11-17,0
A,Individual equity,,2017-11-17,long,slow,Slow 100/50,True,2017-11-17,0
A,Individual equity,,2017-12-05,short,classic,Classic 55/20,True,2018-02-09,45
A,Individual equity,,2017-12-05,short,medium,Medium 40/20,True,2017-12-06,1
A,Individual equity,,2017-12-05,short,slow,Slow 100/50,True,2018-04-03,80
A,Individual equity,,2018-01-08,long,classic,Classic 55/20,True,2018-01-10,2
A,Individual equity,,2018-01-08,long,medium,Medium 40/20,True,2018-01-10,2
A,Individual equity,,2018-01-08,long,slow,Slow 100/50,True,2018-01-10,2
A,Individual equity,,2018-02-06,short,classic,Classic 55/20,True,2018-02-09,3
A,Individual equity,,2018-02-06,short,medium,Medium 40/20,True,2018-02-09,3
A,Individual equity,,2018-02-06,short,slow,Slow 100/50,True,2018-04-03,38
A,Individual equity,,2018-03-26,short,classic,Classic 55/20,True,2018-04-03,5
A,Individual equity,,2018-03-26,short,medium,Medium 40/20,True,2018-04-03,5
A,Individual equity,,2018-03-26,short,slow,Slow 100/50,True,2018-04-03,5
A,Individual equity,,2018-05-16,short,classic,Classic 55/20,True,2018-05-16,0
A,Individual equity,,2018-05-16,short,medium,Medium 40/20,True,2018-05-16,0
A,Individual equity,,2018-05-16,short,slow,Slow 100/50,True,2018-05-16,0
A,Individual equity,,2018-06-26,short,classic,Classic 55/20,True,2018-10-24,84
A,Individual equity,,2018-06-26,short,medium,Medium 40/20,True,2018-10-22,82
A,Individual equity,,2018-06-26,short,slow,Slow 100/50,False,,
A,Individual equity,,2018-07-20,long,classic,Classic 55/20,True,2018-08-08,13
A,Individual equity,,2018-07-20,long,medium,Medium 40/20,True,2018-07-27,5
A,Individual equity,,2018-07-20,long,slow,Slow 100/50,True,2018-09-21,44
A,Individual equity,,2018-09-11,long,classic,Classic 55/20,True,2018-09-14,3
A,Individual equity,,2018-09-11,long,medium,Medium 40/20,True,2018-09-14,3
A,Individual equity,,2018-09-11,long,slow,Slow 100/50,True,2018-09-21,8
A,Individual equity,,2018-10-11,short,classic,Classic 55/20,True,2018-10-24,9
A,Individual equity,,2018-10-11,short,medium,Medium 40/20,True,2018-10-22,7
A,Individual equity,,2018-10-11,short,slow,Slow 100/50,False,,
A,Individual equity,,2018-11-27,long,classic,Classic 55/20,True,2018-12-04,5
A,Individual equity,,2018-11-27,long,medium,Medium 40/20,True,2018-12-03,4
A,Individual equity,,2018-11-27,long,slow,Slow 100/50,True,2018-12-04,5
A,Individual equity,,2018-12-24,short,classic,Classic 55/20,True,2019-05-16,98
A,Individual equity,,2018-12-24,short,medium,Medium 40/20,True,2019-04-18,79
A,Individual equity,,2018-12-24,short,slow,Slow 100/50,False,,
A,Individual equity,,2019-01-16,long,classic,Classic 55/20,True,2019-01-31,10
A,Individual equity,,2019-01-16,long,medium,Medium 40/20,True,2019-01-31,10
A,Individual equity,,2019-01-16,long,slow,Slow 100/50,True,2019-01-31,10
A,Individual equity,,2019-04-17,short,classic,Classic 55/20,True,2019-05-16,20
A,Individual equity,,2019-04-17,short,medium,Medium 40/20,True,2019-04-18,1
A,Individual equity,,2019-04-17,short,slow,Slow 100/50,True,2019-08-06,76
A,Individual equity,,2019-05-16,short,classic,Classic 55/20,True,2019-05-16,0
A,Individual equity,,2019-05-16,short,medium,Medium 40/20,True,2019-05-16,0
A,Individual equity,,2019-05-16,short,slow,Slow 100/50,True,2019-08-06,56
A,Individual equity,,2019-06-20,long,classic,Classic 55/20,True,2019-09-12,58
A,Individual equity,,2019-06-20,long,medium,Medium 40/20,True,2019-09-09,55
A,Individual equity,,2019-06-20,long,slow,Slow 100/50,True,2019-11-20,107
A,Individual equity,,2019-07-22,short,classic,Classic 55/20,True,2019-08-06,11
A,Individual equity,,2019-07-22,short,medium,Medium 40/20,True,2019-08-05,10
A,Individual equity,,2019-07-22,short,slow,Slow 100/50,True,2019-08-06,11
A,Individual equity,,2019-09-06,long,classic,Classic 55/20,True,2019-09-12,4
A,Individual equity,,2019-09-06,long,medium,Medium 40/20,True,2019-09-09,1
A,Individual equity,,2019-09-06,long,slow,Slow 100/50,True,2019-11-20,53
A,Individual equity,,2019-11-04,long,classic,Classic 55/20,True,2019-11-20,12
A,Individual equity,,2019-11-04,long,medium,Medium 40/20,True,2019-11-20,12
A,Individual equity,,2019-11-04,long,slow,Slow 100/50,True,2019-11-20,12
A,Individual equity,,2020-02-03,short,classic,Classic 55/20,True,2020-02-26,16
A,Individual equity,,2020-02-03,short,medium,Medium 40/20,True,2020-02-25,15
A,Individual equity,,2020-02-03,short,slow,Slow 100/50,True,2020-03-10,25
A,Individual equity,,2020-02-25,short,classic,Classic 55/20,True,2020-02-26,1
A,Individual equity,,2020-02-25,short,medium,Medium 40/20,True,2020-02-25,0
A,Individual equity,,2020-02-25,short,slow,Slow 100/50,True,2020-03-10,10
A,Individual equity,,2020-03-10,short,classic,Classic 55/20,True,2020-03-10,0
A,Individual equity,,2020-03-10,short,medium,Medium 40/20,True,2020-03-10,0
A,Individual equity,,2020-03-10,short,slow,Slow 100/50,True,2020-03-10,0
A,Individual equity,,2020-04-07,long,classic,Classic 55/20,True,2020-05-26,33
A,Individual equity,,2020-04-07,long,medium,Medium 40/20,True,2020-05-12,24
A,Individual equity,,2020-04-07,long,slow,Slow 100/50,True,2020-07-16,69
A,Individual equity,,2020-07-16,long,classic,Classic 55/20,True,2020-07-16,0
A,Individual equity,,2020-07-16,long,medium,Medium 40/20,True,2020-07-16,0
A,Individual equity,,2020-07-16,long,slow,Slow 100/50,True,2020-07-16,0
A,Individual equity,,2020-10-06,long,classic,Classic 55/20,True,2020-10-08,2
A,Individual equity,,2020-10-06,long,medium,Medium 40/20,True,2020-10-08,2
A,Individual equity,,2020-10-06,long,slow,Slow 100/50,True,2020-10-08,2
A,Individual equity,,2020-11-05,long,classic,Classic 55/20,True,2020-11-05,0
A,Individual equity,,2020-11-05,long,medium,Medium 40/20,True,2020-11-05,0
A,Individual equity,,2020-11-05,long,slow,Slow 100/50,True,2020-11-05,0
A,Individual equity,,2021-01-07,long,classic,Classic 55/20,True,2021-01-07,0
A,Individual equity,,2021-01-07,long,medium,Medium 40/20,True,2021-01-07,0
A,Individual equity,,2021-01-07,long,slow,Slow 100/50,True,2021-01-07,0
A,Individual equity,,2021-03-04,short,classic,Classic 55/20,True,2021-03-05,1
A,Individual equity,,2021-03-04,short,medium,Medium 40/20,True,2021-03-05,1
A,Individual equity,,2021-03-04,short,slow,Slow 100/50,False,,
A,Individual equity,,2021-04-01,long,classic,Classic 55/20,True,2021-04-27,17
A,Individual equity,,2021-04-01,long,medium,Medium 40/20,True,2021-04-19,11
A,Individual equity,,2021-04-01,long,slow,Slow 100/50,True,2021-04-27,17
A,Individual equity,,2021-05-13,short,classic,Classic 55/20,True,2021-10-13,106
A,Individual equity,,2021-05-13,short,medium,Medium 40/20,True,2021-10-05,100
A,Individual equity,,2021-05-13,short,slow,Slow 100/50,False,,
A,Individual equity,,2021-06-11,long,classic,Classic 55/20,True,2021-06-11,0
A,Individual equity,,2021-06-11,long,medium,Medium 40/20,True,2021-06-11,0
A,Individual equity,,2021-06-11,long,slow,Slow 100/50,True,2021-06-11,0
A,Individual equity,,2021-08-26,long,classic,Classic 55/20,True,2021-08-26,0
A,Individual equity,,2021-08-26,long,medium,Medium 40/20,True,2021-08-26,0
A,Individual equity,,2021-08-26,long,slow,Slow 100/50,True,2021-08-26,0
A,Individual equity,,2021-09-28,short,classic,Classic 55/20,True,2021-10-13,11
A,Individual equity,,2021-09-28,short,medium,Medium 40/20,True,2021-10-05,5
A,Individual equity,,2021-09-28,short,slow,Slow 100/50,True,2022-01-10,72
A,Individual equity,,2021-11-09,long,classic,Classic 55/20,False,,
A,Individual equity,,2021-11-09,long,medium,Medium 40/20,False,,
A,Individual equity,,2021-11-09,long,slow,Slow 100/50,False,,
A,Individual equity,,2021-12-01,short,classic,Classic 55/20,True,2022-01-10,27
A,Individual equity,,2021-12-01,short,medium,Medium 40/20,True,2022-01-10,27
A,Individual equity,,2021-12-01,short,slow,Slow 100/50,True,2022-01-10,27
A,Individual equity,,2021-12-30,long,classic,Classic 55/20,False,,
A,Individual equity,,2021-12-30,long,medium,Medium 40/20,False,,
A,Individual equity,,2021-12-30,long,slow,Slow 100/50,False,,
A,Individual equity,,2022-01-10,short,classic,Classic 55/20,True,2022-01-10,0
A,Individual equity,,2022-01-10,short,medium,Medium 40/20,True,2022-01-10,0
A,Individual equity,,2022-01-10,short,slow,Slow 100/50,True,2022-01-10,0
A,Individual equity,,2022-02-18,short,classic,Classic 55/20,True,2022-02-18,0
A,Individual equity,,2022-02-18,short,medium,Medium 40/20,True,2022-02-18,0
A,Individual equity,,2022-02-18,short,slow,Slow 100/50,True,2022-02-18,0
A,Individual equity,,2022-03-21,long,classic,Classic 55/20,True,2022-07-29,90
A,Individual equity,,2022-03-21,long,medium,Medium 40/20,True,2022-07-29,90
A,Individual equity,,2022-03-21,long,slow,Slow 100/50,True,2022-08-18,104
A,Individual equity,,2022-04-13,short,classic,Classic 55/20,True,2022-04-25,7
A,Individual equity,,2022-04-13,short,medium,Medium 40/20,True,2022-04-25,7
A,Individual equity,,2022-04-13,short,slow,Slow 100/50,True,2022-04-25,7
A,Individual equity,,2022-05-31,long,classic,Classic 55/20,True,2022-07-29,41
A,Individual equity,,2022-05-31,long,medium,Medium 40/20,True,2022-07-29,41
A,Individual equity,,2022-05-31,long,slow,Slow 100/50,True,2022-08-18,55
A,Individual equity,,2022-06-14,short,classic,Classic 55/20,False,,
A,Individual equity,,2022-06-14,short,medium,Medium 40/20,True,2022-09-23,70
A,Individual equity,,2022-06-14,short,slow,Slow 100/50,False,,
A,Individual equity,,2022-07-22,long,classic,Classic 55/20,True,2022-07-29,5
A,Individual equity,,2022-07-22,long,medium,Medium 40/20,True,2022-07-29,5
A,Individual equity,,2022-07-22,long,slow,Slow 100/50,True,2022-08-18,19
A,Individual equity,,2022-09-23,short,classic,Classic 55/20,True,2023-02-23,104
A,Individual equity,,2022-09-23,short,medium,Medium 40/20,True,2022-09-23,0
A,Individual equity,,2022-09-23,short,slow,Slow 100/50,False,,
A,Individual equity,,2022-10-27,long,classic,Classic 55/20,True,2022-11-11,11
A,Individual equity,,2022-10-27,long,medium,Medium 40/20,True,2022-11-02,4
A,Individual equity,,2022-10-27,long,slow,Slow 100/50,True,2022-11-23,19
A,Individual equity,,2023-01-24,long,classic,Classic 55/20,False,,
A,Individual equity,,2023-01-24,long,medium,Medium 40/20,False,,
A,Individual equity,,2023-01-24,long,slow,Slow 100/50,False,,
A,Individual equity,,2023-02-17,short,classic,Classic 55/20,True,2023-02-23,3
A,Individual equity,,2023-02-17,short,medium,Medium 40/20,True,2023-02-23,3
A,Individual equity,,2023-02-17,short,slow,Slow 100/50,True,2023-05-10,56
A,Individual equity,,2023-04-26,short,classic,Classic 55/20,True,2023-05-10,10
A,Individual equity,,2023-04-26,short,medium,Medium 40/20,True,2023-05-10,10
A,Individual equity,,2023-04-26,short,slow,Slow 100/50,True,2023-05-10,10
A,Individual equity,,2023-05-10,short,classic,Classic 55/20,True,2023-05-10,0
A,Individual equity,,2023-05-10,short,medium,Medium 40/20,True,2023-05-10,0
A,Individual equity,,2023-05-10,short,slow,Slow 100/50,True,2023-05-10,0
A,Individual equity,,2023-07-20,long,classic,Classic 55/20,True,2023-11-22,88
A,Individual equity,,2023-07-20,long,medium,Medium 40/20,True,2023-11-22,88
A,Individual equity,,2023-07-20,long,slow,Slow 100/50,True,2023-12-14,103
A,Individual equity,,2023-08-21,short,classic,Classic 55/20,True,2023-09-11,14
A,Individual equity,,2023-08-21,short,medium,Medium 40/20,True,2023-09-08,13
A,Individual equity,,2023-08-21,short,slow,Slow 100/50,True,2023-10-25,46
A,Individual equity,,2023-10-25,short,classic,Classic 55/20,True,2023-10-25,0
A,Individual equity,,2023-10-25,short,medium,Medium 40/20,True,2023-10-25,0
A,Individual equity,,2023-10-25,short,slow,Slow 100/50,True,2023-10-25,0
A,Individual equity,,2023-11-16,long,classic,Classic 55/20,True,2023-11-22,4
A,Individual equity,,2023-11-16,long,medium,Medium 40/20,True,2023-11-22,4
A,Individual equity,,2023-11-16,long,slow,Slow 100/50,True,2023-12-14,19
A,Individual equity,,2024-02-07,long,classic,Classic 55/20,True,2024-03-05,18
A,Individual equity,,2024-02-07,long,medium,Medium 40/20,True,2024-03-05,18
