signal,threshold,gate,window,n_events,events_yr,hit_3,hit_5,hit_10,peak_h,peak_mean,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_10,mean_12,mean_15,mean_20
raw,90.0,none,3,156978,16225.781788351109,0.534660907897922,0.5410630789027762,0.5518543999796149,20,0.018606828606637524,0.0012516645739786836,0.0025483055605713457,0.00379998459603207,0.00478581022089722,0.0057147172467359175,0.006474778533838672,0.007307728046445115,0.008021719859039796,0.009389891505215433,0.01121492672356198,0.013928100941940356,0.018606828606637524
raw,90.0,liquid,3,25527,2638.5578342904023,0.5337877541426724,0.5368041681356994,0.5402514984134446,20,0.018316120119671535,0.0014547993556105752,0.0031897076042678987,0.004624082860249304,0.005470276903623323,0.006477464680071395,0.0066541158696876235,0.007249717722094279,0.007846071847289486,0.009506732010592435,0.012078080183207763,0.013918386347495761,0.018316120119671535
raw,90.0,trend,3,14012,1448.3281378178835,0.5386811304596061,0.5441764202112475,0.5461747073936626,20,0.020514290203243173,0.001474158834844223,0.0032623574985686807,0.004755405263967068,0.0056296578216117,0.006769837503919287,0.00694793593671121,0.007555882123490315,0.008609938739708705,0.010864969211346411,0.013772107657854523,0.015072025455295537,0.020514290203243173
raw,95.0,none,3,79183,8184.625102543068,0.5280931513077302,0.533826705227132,0.5454201027998434,20,0.020289741848115724,0.001412922121970105,0.002863213598405966,0.004228464128799444,0.005241585711441283,0.006177834858397593,0.006927545912423011,0.007774192341057585,0.008578974207533513,0.010027868836659324,0.012021436433179423,0.015056557688495675,0.020289741848115724
raw,95.0,liquid,3,13619,1407.7063166529942,0.5305822747631985,0.5280123357074675,0.5351347382333504,20,0.020794695281225378,0.0018781222777190228,0.004049810637506724,0.00566887740567115,0.006441620679252931,0.007121164038624823,0.007432149190407981,0.007884072083939703,0.00838438891573425,0.010355553577814288,0.013242571463987144,0.015530729282476686,0.020794695281225378
raw,95.0,trend,3,7162,740.2887612797375,0.5406311086288746,0.5399329796146328,0.5469142697570512,20,0.02489202754315369,0.0023043307479443335,0.004693212285922273,0.006473404551332868,0.00757211948548381,0.008257836676888801,0.008322928694249972,0.008827619556608124,0.009832205254798713,0.012979561701740595,0.016435083096665623,0.017789570801676136,0.02489202754315369
sector_rel,90.0,none,3,119283,12329.497949138638,0.5381990727932732,0.5456435535658896,0.5579588038530218,20,0.018755503986923695,0.001176619029876416,0.0023620286403215544,0.0034382165852209056,0.004319672940433719,0.005317145561315371,0.006238367227328177,0.0070854084334058464,0.0078674742403881,0.009444638416192088,0.01138934507359481,0.013947953346706808,0.018755503986923695
sector_rel,90.0,liquid,3,20050,2072.436423297785,0.5389027431421446,0.5441895261845386,0.5438902743142144,20,0.020197135868039534,0.0014350986967558393,0.00313928860537542,0.004488238429119836,0.005406118719907879,0.006331526506004812,0.006848584115819092,0.0074746014880624125,0.008185140743389802,0.010325708734166371,0.012841412739057853,0.015319843350281678,0.020197135868039534
sector_rel,90.0,trend,3,11260,1163.8720262510255,0.5412078152753108,0.5507992895204263,0.5533747779751332,20,0.02292709600639325,0.0017037685534082147,0.0033270607211354506,0.004732135264962852,0.005560977465576115,0.006447642813411606,0.006768829584141254,0.007630755435098862,0.008877347267273968,0.011592446343898454,0.014499437894246181,0.016701975617796794,0.02292709600639325
sector_rel,95.0,none,3,60247,6227.335520918787,0.5359602967782628,0.5439938918120404,0.5557455142994672,20,0.020747947890328623,0.001354471787294641,0.0027096345539571825,0.003942317007411399,0.004817176185777857,0.0058653717039030525,0.006874552102995771,0.007866685366919198,0.00873166398689868,0.010457821680477214,0.012496681390368558,0.015469575580737232,0.020747947890328623
sector_rel,95.0,liquid,3,11148,1152.2953240360953,0.5393792608539648,0.5429673484033011,0.5441334768568353,20,0.02377482052855561,0.0018931928850474935,0.0038889146336607947,0.005592987343212156,0.006552564484051201,0.007569117650089484,0.008014129393149954,0.008788662823111762,0.009669002159508855,0.012232293041596587,0.014942898653255387,0.01796177833810248,0.02377482052855561
sector_rel,95.0,trend,3,6020,622.2477440525021,0.545514950166113,0.5524916943521595,0.5568106312292359,20,0.028097066686191927,0.002385955771500105,0.00441708157667024,0.006164150276697561,0.007250661607538706,0.008140311196701656,0.008386307431230254,0.00940820413693147,0.010847889078920949,0.014436601759021516,0.017987605917335,0.020540566119280852,0.028097066686191927
max,90.0,none,3,191631,19807.63412633306,0.536437215273103,0.543241959808173,0.554863252814002,20,0.018380725105942755,0.0012443265703710501,0.0024946143480111416,0.003669428821423448,0.004637156296038045,0.005563163567222746,0.006365164407795461,0.0071680800822473,0.007913102061382387,0.009336153077158455,0.011174920403883687,0.01378393439093845,0.018380725105942755
max,90.0,liquid,3,30997,3203.955701394586,0.5334064586895506,0.5380198083685518,0.5391489498983772,20,0.01763386071455935,0.0013513700286890019,0.0029367271576157417,0.0042663787814191155,0.005086126558228942,0.005958511159870403,0.006145336325614743,0.0067104114279567945,0.007285343861773506,0.008925456436916264,0.011411124229906151,0.013306367276141831,0.01763386071455935
max,90.0,trend,3,17312,1789.4273995077933,0.5371996303142329,0.5444778188539742,0.546268484288355,20,0.019633924497364598,0.0013539647735897615,0.002888730708830751,0.004243391783989354,0.005081929159141837,0.006048566188422377,0.0062449641517388806,0.0068979245677158844,0.007910267410916234,0.01002926772476943,0.012868630115205865,0.01436146794403895,0.019633924497364598
max,95.0,none,3,97396,10067.182936833471,0.5324037948170356,0.5388106287732556,0.5496940326091421,20,0.02016413993313578,0.0014678818409265297,0.002904519029012047,0.0042193190209708865,0.005204365758090515,0.006161715523471627,0.0069457081496238264,0.007805202240149113,0.008625319850710182,0.010202403641503986,0.012146545442660035,0.01509446723405207,0.02016413993313578
max,95.0,liquid,3,16813,1737.8490566037738,0.534764765360138,0.535181109855469,0.5373223101171712,20,0.02079309722612571,0.0018626579420327756,0.003887165975215253,0.005488310438415352,0.006239362594981066,0.00695433141726895,0.007199218340700982,0.007762735603906982,0.008385783467079147,0.010587329403824128,0.013311716482172662,0.015661891162699476,0.02079309722612571
max,95.0,trend,3,9014,931.7178014766203,0.5418238295984025,0.5454848014200133,0.5497004659418682,20,0.025047263074003928,0.002170642866075178,0.0043515607328559625,0.0060971888207349036,0.007106560592446193,0.007814368811999133,0.008041398561346837,0.008746515657326752,0.00985762349915722,0.013158514421430742,0.01665932188823923,0.018384652025335107,0.025047263074003928
