date,universe,k_max,variant,port_ret,gross,net
2016-02-02,full,1,P1,0.000000,0.0000,0.0000
2016-02-03,full,1,P1,0.000000,0.0000,0.0000
2016-02-04,full,1,P1,0.000000,0.0000,0.0000
2016-02-05,full,1,P1,0.000000,0.0000,0.0000
2016-02-08,full,1,P1,0.000000,0.0000,0.0000
2016-02-09,full,1,P1,0.000000,0.0000,0.0000
2016-02-10,full,1,P1,0.000000,0.0000,0.0000
2016-02-11,full,1,P1,0.000000,0.0000,0.0000
2016-02-12,full,1,P1,0.000000,0.0000,0.0000
2016-02-16,full,1,P1,0.000000,0.0000,0.0000
2016-02-17,full,1,P1,0.000000,0.0000,0.0000
2016-02-18,full,1,P1,0.000000,0.0000,0.0000
2016-02-19,full,1,P1,0.000000,0.0000,0.0000
2016-02-22,full,1,P1,0.011630,1.0000,1.0000
2016-02-23,full,1,P1,-0.008407,1.0000,1.0000
2016-02-24,full,1,P1,0.003718,1.0000,1.0000
2016-02-25,full,1,P1,0.010011,1.0000,1.0000
2016-02-26,full,1,P1,-0.001590,1.0000,1.0000
2016-02-29,full,1,P1,-0.004984,1.0000,1.0000
2016-03-01,full,1,P1,0.018775,1.0000,1.0000
2016-03-02,full,1,P1,0.003369,1.0000,1.0000
2016-03-03,full,1,P1,0.005373,1.0000,1.0000
2016-03-04,full,1,P1,0.003366,1.0000,1.0000
2016-03-07,full,1,P1,0.002772,1.0000,1.0000
2016-03-08,full,1,P1,-0.013307,1.0000,1.0000
2016-03-09,full,1,P1,0.004198,1.0000,1.0000
2016-03-10,full,1,P1,0.000088,1.0000,1.0000
2016-03-11,full,1,P1,0.017175,1.0000,1.0000
2016-03-14,full,1,P1,-0.001515,1.0000,1.0000
2016-03-15,full,1,P1,-0.003937,1.0000,1.0000
2016-03-16,full,1,P1,0.008358,1.0000,1.0000
2016-03-17,full,1,P1,0.010082,1.0000,1.0000
2016-03-18,full,1,P1,0.003538,1.0000,1.0000
2016-03-21,full,1,P1,-0.000600,1.0000,1.0000
2016-03-22,full,1,P1,-0.000853,1.0000,1.0000
2016-03-23,full,1,P1,-0.007181,1.0000,1.0000
2016-03-24,full,1,P1,-0.000642,1.0000,1.0000
2016-03-28,full,1,P1,0.002068,1.0000,1.0000
2016-03-29,full,1,P1,0.011651,1.0000,1.0000
2016-03-30,full,1,P1,0.003512,1.0000,1.0000
2016-03-31,full,1,P1,-0.000567,1.0000,1.0000
2016-04-01,full,1,P1,0.005651,1.0000,1.0000
2016-04-04,full,1,P1,-0.005162,1.0000,1.0000
2016-04-05,full,1,P1,-0.009728,1.0000,1.0000
2016-04-06,full,1,P1,0.007920,1.0000,1.0000
2016-04-07,full,1,P1,-0.008238,1.0000,1.0000
2016-04-08,full,1,P1,0.003778,1.0000,1.0000
2016-04-11,full,1,P1,-0.002356,1.0000,1.0000
2016-04-12,full,1,P1,0.007738,1.0000,1.0000
2016-04-13,full,1,P1,0.008766,1.0000,1.0000
2016-04-14,full,1,P1,-0.001219,1.0000,1.0000
2016-04-15,full,1,P1,0.001230,1.0000,1.0000
2016-04-18,full,1,P1,0.005567,1.0000,1.0000
2016-04-19,full,1,P1,0.003149,1.0000,1.0000
2016-04-20,full,1,P1,-0.000505,1.0000,1.0000
2016-04-21,full,1,P1,-0.002839,1.0000,1.0000
2016-04-22,full,1,P1,0.002809,1.0000,1.0000
2016-04-25,full,1,P1,-0.004567,1.0000,1.0000
2016-04-26,full,1,P1,0.007123,1.0000,1.0000
2016-04-27,full,1,P1,0.005868,1.0000,1.0000
2016-04-28,full,1,P1,-0.009124,1.0000,1.0000
2016-04-29,full,1,P1,-0.002357,1.0000,1.0000
2016-05-02,full,1,P1,0.006499,1.0000,1.0000
2016-05-03,full,1,P1,-0.009109,1.0000,1.0000
2016-05-04,full,1,P1,-0.002979,1.0000,1.0000
2016-05-05,full,1,P1,0.002118,1.0000,1.0000
2016-05-06,full,1,P1,0.002701,1.0000,1.0000
2016-05-09,full,1,P1,0.001281,1.0000,1.0000
2016-05-10,full,1,P1,0.010872,1.0000,1.0000
2016-05-11,full,1,P1,-0.005979,1.0000,1.0000
2016-05-12,full,1,P1,0.002659,1.0000,1.0000
2016-05-13,full,1,P1,-0.005343,1.0000,1.0000
2016-05-16,full,1,P1,0.008182,1.0000,1.0000
2016-05-17,full,1,P1,-0.008810,1.0000,1.0000
2016-05-18,full,1,P1,0.000325,1.0000,1.0000
2016-05-19,full,1,P1,-0.001341,1.0000,1.0000
2016-05-20,full,1,P1,0.004310,1.0000,1.0000
2016-05-23,full,1,P1,-0.002568,1.0000,1.0000
2016-05-24,full,1,P1,0.014348,1.0000,1.0000
2016-05-25,full,1,P1,0.001669,1.0000,1.0000
2016-05-26,full,1,P1,0.000928,1.0000,1.0000
2016-05-27,full,1,P1,0.005565,1.0000,1.0000
2016-05-31,full,1,P1,-0.000646,1.0000,1.0000
2016-06-01,full,1,P1,0.002782,1.0000,1.0000
2016-06-02,full,1,P1,0.004440,1.0000,1.0000
2016-06-03,full,1,P1,-0.004108,1.0000,1.0000
2016-06-06,full,1,P1,0.004662,1.0000,1.0000
2016-06-07,full,1,P1,0.002000,1.0000,1.0000
