date,universe,k_max,variant,port_ret,gross,net
2016-02-02,full,1,P1,0.000000,0.0000,0.0000
2016-02-03,full,1,P1,0.000000,0.0000,0.0000
2016-02-04,full,1,P1,0.000000,0.0000,0.0000
2016-02-05,full,1,P1,0.000000,0.0000,0.0000
2016-02-08,full,1,P1,0.000000,0.0000,0.0000
2016-02-09,full,1,P1,0.000000,0.0000,0.0000
2016-02-10,full,1,P1,0.000000,0.0000,0.0000
2016-02-11,full,1,P1,0.000000,0.0000,0.0000
2016-02-12,full,1,P1,0.000000,0.0000,0.0000
2016-02-16,full,1,P1,0.000000,0.0000,0.0000
2016-02-17,full,1,P1,0.000000,0.0000,0.0000
2016-02-18,full,1,P1,0.000000,0.0000,0.0000
2016-02-19,full,1,P1,0.000000,0.0000,0.0000
2016-02-22,full,1,P1,0.011089,1.0000,1.0000
2016-02-23,full,1,P1,-0.008421,1.0000,1.0000
2016-02-24,full,1,P1,0.003712,1.0000,1.0000
2016-02-25,full,1,P1,0.010004,1.0000,1.0000
2016-02-26,full,1,P1,-0.001593,1.0000,1.0000
2016-02-29,full,1,P1,-0.005556,1.0000,1.0000
2016-03-01,full,1,P1,0.018766,1.0000,1.0000
2016-03-02,full,1,P1,0.003338,1.0000,1.0000
2016-03-03,full,1,P1,0.005367,1.0000,1.0000
2016-03-04,full,1,P1,0.003366,1.0000,1.0000
2016-03-07,full,1,P1,0.002346,1.0000,1.0000
2016-03-08,full,1,P1,-0.013314,1.0000,1.0000
2016-03-09,full,1,P1,0.004195,1.0000,1.0000
2016-03-10,full,1,P1,0.000085,1.0000,1.0000
2016-03-11,full,1,P1,0.017172,1.0000,1.0000
2016-03-14,full,1,P1,-0.001710,1.0000,1.0000
2016-03-15,full,1,P1,-0.003941,1.0000,1.0000
2016-03-16,full,1,P1,0.008350,1.0000,1.0000
2016-03-17,full,1,P1,0.010077,1.0000,1.0000
2016-03-18,full,1,P1,0.003533,1.0000,1.0000
2016-03-21,full,1,P1,-0.000680,1.0000,1.0000
2016-03-22,full,1,P1,-0.000856,1.0000,1.0000
2016-03-23,full,1,P1,-0.007187,1.0000,1.0000
2016-03-24,full,1,P1,-0.000668,1.0000,1.0000
2016-03-28,full,1,P1,0.001993,1.0000,1.0000
2016-03-29,full,1,P1,0.011648,1.0000,1.0000
2016-03-30,full,1,P1,0.003512,1.0000,1.0000
2016-03-31,full,1,P1,-0.000570,1.0000,1.0000
2016-04-01,full,1,P1,0.005640,1.0000,1.0000
2016-04-04,full,1,P1,-0.005220,1.0000,1.0000
2016-04-05,full,1,P1,-0.009750,1.0000,1.0000
2016-04-06,full,1,P1,0.007908,1.0000,1.0000
2016-04-07,full,1,P1,-0.008278,1.0000,1.0000
2016-04-08,full,1,P1,0.003770,1.0000,1.0000
2016-04-11,full,1,P1,-0.002537,1.0000,1.0000
2016-04-12,full,1,P1,0.007721,1.0000,1.0000
2016-04-13,full,1,P1,0.008755,1.0000,1.0000
2016-04-14,full,1,P1,-0.001232,1.0000,1.0000
2016-04-15,full,1,P1,0.001228,1.0000,1.0000
2016-04-18,full,1,P1,0.005460,1.0000,1.0000
2016-04-19,full,1,P1,0.003138,1.0000,1.0000
2016-04-20,full,1,P1,-0.000533,1.0000,1.0000
2016-04-21,full,1,P1,-0.002898,1.0000,1.0000
2016-04-22,full,1,P1,0.002788,1.0000,1.0000
2016-04-25,full,1,P1,-0.004821,1.0000,1.0000
2016-04-26,full,1,P1,0.007112,1.0000,1.0000
2016-04-27,full,1,P1,0.005854,1.0000,1.0000
2016-04-28,full,1,P1,-0.009167,1.0000,1.0000
2016-04-29,full,1,P1,-0.002428,1.0000,1.0000
2016-05-02,full,1,P1,0.006212,1.0000,1.0000
2016-05-03,full,1,P1,-0.009193,1.0000,1.0000
2016-05-04,full,1,P1,-0.003092,1.0000,1.0000
2016-05-05,full,1,P1,0.002087,1.0000,1.0000
2016-05-06,full,1,P1,0.002667,1.0000,1.0000
2016-05-09,full,1,P1,0.000717,1.0000,1.0000
2016-05-10,full,1,P1,0.010871,1.0000,1.0000
2016-05-11,full,1,P1,-0.005987,1.0000,1.0000
2016-05-12,full,1,P1,0.002644,1.0000,1.0000
2016-05-13,full,1,P1,-0.005357,1.0000,1.0000
2016-05-16,full,1,P1,0.007919,1.0000,1.0000
2016-05-17,full,1,P1,-0.008870,1.0000,1.0000
2016-05-18,full,1,P1,0.000219,1.0000,1.0000
2016-05-19,full,1,P1,-0.001394,1.0000,1.0000
2016-05-20,full,1,P1,0.004310,1.0000,1.0000
2016-05-23,full,1,P1,-0.003037,1.0000,1.0000
2016-05-24,full,1,P1,0.014342,1.0000,1.0000
2016-05-25,full,1,P1,0.001668,1.0000,1.0000
2016-05-26,full,1,P1,0.000928,1.0000,1.0000
2016-05-27,full,1,P1,0.005563,1.0000,1.0000
2016-05-31,full,1,P1,-0.001180,1.0000,1.0000
2016-06-01,full,1,P1,0.002773,1.0000,1.0000
2016-06-02,full,1,P1,0.004435,1.0000,1.0000
2016-06-03,full,1,P1,-0.004116,1.0000,1.0000
2016-06-06,full,1,P1,0.004347,1.0000,1.0000
2016-06-07,full,1,P1,0.001993,1.0000,1.0000
