symbol,group,start,end,net_total_return,net_cagr,net_max_drawdown,gross_total_return,gross_cagr,gross_max_drawdown,buy_hold_total_return,buy_hold_cagr,buy_hold_max_drawdown,long_total_return,long_cagr,long_max_drawdown,short_total_return,short_cagr,short_max_drawdown,closed_trades,win_rate,median_fill_cost_bps,cost_drag_pp
A,Other equities,2016-01-04,2026-09-04,-0.3972642546172245,-0.04635463703434595,-0.5464995546220659,-0.1771764518489296,-0.018116404479198822,-0.4249095021990582,3.0326116011761366,0.13965585108709777,-0.43194821707218434,0.2611620554107359,0.02199147110705857,-0.43209485860575325,-0.5220790676369683,-0.06687541929030916,-0.5908725168396673,93,0.34408602150537637,16.56611912685981,22.008780276829487
AAL,Other equities,2016-01-04,2026-09-04,-0.9681904716255573,-0.27620639718084017,-0.9776041298230486,-0.9426258160090497,-0.23505594465787816,-0.9663731793367443,-0.6641943734015323,-0.09724324440430876,-0.8413756799438501,-0.7574505575707698,-0.12436114117462349,-0.7945616965199461,-0.8688534261062093,-0.17341082396675378,-0.9325940862544149,105,0.3047619047619048,23.40795918269345,2.556465561650756
AAPL,Other equities,2016-01-04,2026-09-04,0.5333323393495399,0.040886564229928535,-0.4468040563015816,1.1104443783028204,0.07253149493410183,-0.3624571721399652,12.506542845082372,0.27640506477252336,-0.38507843852608525,2.3344207108239377,0.11952336516452489,-0.15606085880113874,-0.5401503072566218,-0.0702413217816491,-0.6040840058907448,99,0.3838383838383838,15.046125639955907,57.71120389532805
ABBV,Other equities,2016-01-04,2026-09-04,0.08661583667056472,0.007818039661140253,-0.4294474671967152,0.43948931049219153,0.03474191484721989,-0.40310825591603994,5.9070832211150295,0.1986265053537566,-0.45093485077226747,0.7660125704734946,0.054764896995391554,-0.2890580097308747,-0.3847066239289406,-0.04450930957977861,-0.43007329779745274,87,0.39080459770114945,15.465964081061404,35.28734738216268
ABNB,Other equities,2020-12-10,2026-09-04,-0.7368871920771252,-0.20775930871178205,-0.8117318244528421,-0.6553749545613008,-0.16957421229438452,-0.7542665685624306,0.25727316702370406,0.040742304898938375,-0.6195812580704668,0.0064376193786608304,0.0011199219105655356,-0.31094944130749436,-0.7385701777668925,-0.20864556388381172,-0.7726833794090061,54,0.3148148148148148,21.772151197434628,8.151223751582437
ABT,Other equities,2016-01-04,2026-09-04,-0.48516570739353315,-0.06034414316465475,-0.643539230644823,-0.308285784211758,-0.03396440653884847,-0.5496596154835529,2.1031223145230746,0.11200347994040061,-0.39636256534864844,0.1834523512751005,0.015916199074344384,-0.34747094927599853,-0.5649725212411264,-0.0750655834688766,-0.6824183408270514,96,0.34375,14.604255010783476,17.687992318177514
ACGL,Other equities,2016-01-04,2026-09-04,-0.5216810447140018,-0.06680259116956333,-0.7481478855882391,-0.34412562329357854,-0.03877083969528239,-0.6857119690206492,3.495875343721381,0.1513340185457972,-0.5383104125736737,0.20990080344564355,0.018023469839576256,-0.46366404260898286,-0.6046626682751124,-0.08332426856770492,-0.6849006820175116,98,0.2857142857142857,15.078633191894992,17.755542142042323
ACHR,Other equities,2020-12-18,2026-09-04,0.8932935114068654,0.11825209258456382,-0.6613956409080113,1.7181061193454843,0.19134695116701006,-0.6381205163646109,-0.42728184553661097,-0.09298084622097413,-0.9049008168028008,0.39117329573136383,0.0595109822466513,-0.44563970980548673,0.36093290261981803,0.05544171917251295,-0.5834738296427958,47,0.48936170212765956,38.87345664042807,82.48126079386189
ACN,Other equities,2016-01-04,2026-09-04,-0.31760566153866865,-0.035192168257078604,-0.6350753889948191,-0.07569703976397635,-0.00735240491703093,-0.5638307362480718,1.1780006998716983,0.0757043847959813,-0.6804839503614091,0.4656089407923245,0.036487806732796724,-0.4420494461663016,-0.534395349626878,-0.06915660225258591,-0.5381437605293171,94,0.3617021276595745,14.884765958463086,24.19086217746923
ACWI,Broad-index ETFs,2016-01-04,2026-09-04,-0.17678722140669978,-0.01807286950450815,-0.3429005898704973,0.0380481620453903,0.0035069646757013295,-0.26286049341339834,2.6007562277579948,0.12761777012069042,-0.33515507583003135,0.4374495334824924,0.03460436611816009,-0.13810396436668204,-0.4273101354738299,-0.05091534247077856,-0.4393718638616224,106,0.3867924528301887,10.161269406497487,21.48353834520901
