scope,mode,entry,exit,instruments,eligible,positive_full,positive_common,median_cagr,median_drawdown,median_full_return,thin_trade_samples,exhausted,channel_exit_share,closed_trades,neighbor_median
Priority assets,both,10,10,60,60,13,14,-0.03015253059880152,-0.4700117799955481,-0.3050528292051084,0,0,0.1618628235922071,7494,-0.03015253059880152
Priority assets,both,10,20,60,60,14,14,-0.030016765346650154,-0.495876239332694,-0.31323352174415364,0,0,0.010672210672210672,7215,-0.030084647972725836
Priority assets,both,10,55,60,60,13,14,-0.030459297159002086,-0.49797215263636285,-0.30885638720722025,0,0,0.0018126045733407696,7172,-0.03023803125282612
Priority assets,both,10,100,60,60,14,14,-0.030459297159002086,-0.49797215263636285,-0.2985256261441396,0,0,0.0017079419299743809,7026,-0.030459297159002086
Priority assets,both,20,10,60,60,15,14,-0.03234785898035242,-0.4540335566078133,-0.26996607276652745,0,0,0.1559102069449316,5702,-0.028859896457594097
Priority assets,both,20,20,60,60,16,18,-0.027567262316386676,-0.4689538470477,-0.2848771584398702,0,0,0.008134490238611713,5532,-0.02778789848581198
Priority assets,both,20,55,60,60,15,18,-0.02778789848581198,-0.46895384704770027,-0.3019461651109023,0,0,0.00036436509382401167,5489,-0.02778789848581198
Priority assets,both,20,100,60,60,17,18,-0.02778789848581198,-0.46895384704770027,-0.2538535553316063,0,0,0.0003718854592785422,5378,-0.02778789848581198
Priority assets,both,55,10,60,60,17,19,-0.01602634475169018,-0.3751817795534797,-0.15898867651685994,0,0,0.13884156729131175,3522,-0.014369767182908555
Priority assets,both,55,20,60,60,17,19,-0.01271318961412693,-0.3821361774965145,-0.14803945833407006,0,0,0.0061206645292917515,3431,-0.01271318961412693
Priority assets,both,55,55,60,60,18,19,-0.01271318961412693,-0.3821361774965145,-0.1490478420489993,0,0,0.00029171528588098014,3428,-0.01271318961412693
Priority assets,both,55,100,60,60,17,19,-0.01271318961412693,-0.3821361774965145,-0.12543446119894708,0,0,0.0,3366,-0.01271318961412693
Priority assets,both,100,10,60,60,18,20,-0.0067801238625963545,-0.35518212670780136,-0.07126934023568388,1,0,0.13101903695408734,2679,-0.007380098904913729
