scope,config,mode,instruments,eligible,positive_net,positive_gross,positive_common,median_cagr,median_drawdown,median_full_return,thin_samples,exhausted,trades,channel_exits,initial_exits,trailing_exits
Priority assets,channel-e10-x10-i2-t3,both,60,60,14,23,14,-0.02461357094322536,-0.5096411538614827,-0.24622482502515514,1,0,5224,5224,0,0
Priority assets,channel-e10-x10-i2-t3,long,60,60,54,58,51,0.03164110478765192,-0.3071558316377514,0.35517486528907805,1,0,3228,3228,0,0
Priority assets,channel-e10-x10-i2-t3,short,60,60,1,4,1,-0.09106057466866241,-0.6422602315310586,-0.6290166649049749,1,0,3207,3207,0,0
Priority assets,channel-e10-x20-i2-t3,both,60,60,22,31,22,-0.015229784319171658,-0.47450978605253463,-0.12362218281321458,1,0,3109,3109,0,0
Priority assets,channel-e10-x20-i2-t3,long,60,60,58,59,59,0.04171222715844103,-0.3150775449155755,0.5280993367267109,2,0,2169,2169,0,0
Priority assets,channel-e10-x20-i2-t3,short,60,60,0,2,0,-0.09170111680731652,-0.644528111162112,-0.6269841438901851,1,0,2554,2554,0,0
Priority assets,channel-e10-x55-i2-t3,both,60,60,32,34,32,0.0022749476101809885,-0.5042822216585454,0.0161857639202192,2,0,1302,1302,0,0
Priority assets,channel-e10-x55-i2-t3,long,60,60,58,59,58,0.07365495472745465,-0.3601279334566428,1.0611727819466688,2,0,1032,1032,0,0
Priority assets,channel-e10-x55-i2-t3,short,60,60,0,2,0,-0.1086189661175509,-0.6940800327789067,-0.6845949174790711,1,0,1811,1811,0,0
Priority assets,channel-e20-x10-i2-t3,both,60,60,14,25,14,-0.02529704417367956,-0.5147226947001269,-0.24007621064621254,1,0,4518,4518,0,0
Priority assets,channel-e20-x10-i2-t3,long,60,60,53,59,52,0.028143457518264747,-0.27155843713605426,0.3432958905858615,1,0,2581,2581,0,0
Priority assets,channel-e20-x10-i2-t3,short,60,60,1,4,1,-0.07709202558124462,-0.5631962600665424,-0.555015446073641,2,0,2157,2157,0,0
Priority assets,channel-e20-x20-i2-t3,both,60,60,20,33,24,-0.010698557446939927,-0.47135997011869263,-0.07584606965182861,1,0,2941,2941,0,0
Priority assets,channel-e20-x20-i2-t3,long,60,60,57,57,56,0.04751057400583414,-0.2741895749796719,0.6403956673684237,2,0,1765,1765,0,0
Priority assets,channel-e20-x20-i2-t3,short,60,60,0,3,1,-0.07731401109772396,-0.5732186482387193,-0.5282752970118633,2,0,1747,1747,0,0
Priority assets,channel-e20-x55-i2-t3,both,60,60,30,38,31,0.002257198563086704,-0.5118397545209251,0.00260341939519515,2,0,1238,1238,0,0
Priority assets,channel-e20-x55-i2-t3,long,60,60,59,59,60,0.08145949786758344,-0.33420535057185924,1.0809009789208734,2,0,857,857,0,0
Priority assets,channel-e20-x55-i2-t3,short,60,60,0,5,2,-0.09306155437052493,-0.6651047482760952,-0.6268899439319773,2,0,1256,1256,0,0
Priority assets,channel-e55-x10-i2-t3,both,60,60,17,27,20,-0.012765238602521156,-0.40153232417624357,-0.17862900771670787,1,0,2851,2851,0,0
Priority assets,channel-e55-x10-i2-t3,long,60,60,46,53,48,0.01835396703654324,-0.23122117918014773,0.19540646490934444,1,0,1827,1827,0,0
Priority assets,channel-e55-x10-i2-t3,short,60,60,3,8,4,-0.04600966734760453,-0.4274183813717837,-0.3736981229501201,2,0,1028,1028,0,0
Priority assets,channel-e55-x20-i2-t3,both,60,60,28,31,29,-0.0016346217897544868,-0.41777728502497896,-0.038387642057126636,1,0,2101,2101,0,0
Priority assets,channel-e55-x20-i2-t3,long,60,60,51,54,53,0.026258784972235327,-0.2617792655865291,0.2836624187663962,2,0,1273,1273,0,0
