scope,scenario,long_rule,short_rule,mode,instruments,eligible,positive_net,positive_gross,median_cagr,median_drawdown,median_full_return,positive_common,thin,thin_short_full,exhausted,trades,median_short_trades,short_contribution_positive,median_delta_long,median_delta_shared,improved_long,improved_shared,less_drawdown_long,improved_both_long
Priority assets,r00_r00,r00,r00,both,60,60,32,34,0.0022749476101809885,-0.5042822216585454,0.0161857639202192,32,2,5,0,1302,10.0,5,-0.09101877670576736,0.0,5,0,13,3
Priority assets,r00_r01,r00,r01,both,60,60,50,54,0.03300304735735615,-0.4486011343180872,0.3667012728894452,52,2,2,0,1869,15.0,3,-0.039208104978427416,0.03716226425442659,3,48,12,3
Priority assets,r00_r02,r00,r02,both,60,60,43,47,0.02640745432813263,-0.44192674330446796,0.25302233474709224,43,2,2,0,1629,13.0,2,-0.04548927233386435,0.026028589288311144,9,44,21,8
Priority assets,r00_r03,r00,r03,both,60,60,53,55,0.04186279775664503,-0.4394318510052096,0.4381575546027534,52,1,2,0,1959,15.0,5,-0.029447693241367978,0.04096818354147924,5,49,4,2
Priority assets,r00_r04,r00,r04,both,60,60,52,55,0.03932767104635304,-0.440108191081261,0.4364586724054156,52,1,2,0,1925,14.5,5,-0.025261088904556805,0.03866023456429968,5,49,4,2
Priority assets,r00_r05,r00,r05,both,60,60,51,55,0.03362901164053089,-0.4535868531033418,0.43345113458791906,51,1,2,0,1785,13.5,5,-0.032032192026982376,0.04635488014961009,9,50,10,5
Priority assets,r00_r06,r00,r06,both,60,60,34,39,0.0034745097547429493,-0.49179448951763305,0.04271451813891913,36,2,5,0,1256,9.0,5,-0.09530873385623351,0.0,6,28,12,3
Priority assets,r00_r07,r00,r07,both,60,60,50,56,0.03358433575908948,-0.43581863104977636,0.40868295606611205,53,2,2,0,1810,13.0,4,-0.03187746503405753,0.037693877125663466,3,49,12,3
Priority assets,r00_r08,r00,r08,both,60,60,44,48,0.02640745432813263,-0.4414162310619032,0.3070478399244989,44,2,2,0,1597,12.0,2,-0.04232235368628212,0.026028589288311144,9,45,20,8
Priority assets,r00_r09,r00,r09,both,60,60,51,55,0.041763028518360557,-0.4438053321160403,0.46457948744732014,52,1,2,0,1906,14.0,4,-0.027481355729887857,0.04044088696620818,5,48,4,2
Priority assets,r00_r10,r00,r10,both,60,60,50,55,0.04069634984049875,-0.44825644922727015,0.46457948744732014,50,1,2,0,1884,14.0,4,-0.026996788876275768,0.0362806843476689,6,47,4,3
Priority assets,r00_r11,r00,r11,both,60,60,52,56,0.04598181507550003,-0.4538373761981298,0.5610074552008921,51,1,2,0,1746,13.0,4,-0.024742809729161874,0.04671315682441257,8,50,12,5
Priority assets,r00_r12,r00,r12,both,60,60,34,37,0.003511704362855972,-0.4890297085378993,0.05023524859322093,34,2,5,0,1232,9.0,3,-0.07334546816538434,0.00035251820298259906,5,35,12,3
Priority assets,r00_r13,r00,r13,both,60,60,51,57,0.03329106495498224,-0.4310639711073711,0.4123070003238266,54,2,3,0,1782,13.0,4,-0.034920079412117166,0.038550514896259325,3,49,12,3
Priority assets,r00_r14,r00,r14,both,60,60,44,49,0.028244831570033657,-0.42112388087878405,0.32597406436848897,44,2,3,0,1574,12.0,2,-0.0405528800503554,0.02837860588623875,8,45,20,7
