scope,scenario,cost,year,assets,median_cagr,median_drawdown,positive,median_net,thin,short_history,failures
Priority assets,e10-x55-s2,normal,2020,56,0.1220938779130436,-0.12675740559088983,50,0.12165118653657114,53,56,0
Priority assets,e10-x55-s2,normal,2021,56,0.16797808408026293,-0.08705718199502943,40,0.16785346876612284,50,56,0
Priority assets,e10-x55-s2,normal,2022,57,-0.12396754045481184,-0.2504604654996939,8,-0.12357065124037336,35,57,0
Priority assets,e10-x55-s2,normal,2023,58,0.07406059642427643,-0.11467977266035195,45,0.07379786117016385,53,58,0
Priority assets,e10-x55-s2,normal,2024,58,0.06475579414494614,-0.10075125956359088,39,0.06525892096410368,57,58,0
Priority assets,e10-x55-s2,normal,2025,60,0.04775193324491489,-0.13997016011607544,41,0.04771848068571849,55,60,0
Priority assets,e10-x55-s2,normal,2026,60,0.00977809349211467,-0.12947850970917396,31,0.00660043397760679,59,60,0
Priority assets,e10-x55-s2,double,2020,56,0.10970184390005888,-0.1291916112752654,50,0.10930611524582623,53,56,0
Priority assets,e10-x55-s2,double,2021,56,0.16545753239828842,-0.08749331868720633,38,0.16533483283601447,50,56,0
Priority assets,e10-x55-s2,double,2022,57,-0.1321078865785722,-0.2589745926621203,8,-0.13168694338980735,35,57,0
Priority assets,e10-x55-s2,double,2023,58,0.07061760598248934,-0.11694694822759866,42,0.07036756057157811,53,58,0
Priority assets,e10-x55-s2,double,2024,58,0.06403242491171979,-0.10123929520693437,39,0.0645297652875737,57,58,0
Priority assets,e10-x55-s2,double,2025,60,0.04325894205822878,-0.1482937376045882,40,0.04322870165780912,55,60,0
Priority assets,e10-x55-s2,double,2026,60,0.004185629542431513,-0.1363288946482792,31,0.0028286130528285547,59,60,0
Priority assets,e20-x55-s0,normal,2020,56,0.10827199513307617,-0.1498439033508201,45,0.10788168762395745,56,56,0
Priority assets,e20-x55-s0,normal,2021,56,0.1813712120231099,-0.08674987780455967,40,0.18123628120207913,56,56,0
Priority assets,e20-x55-s0,normal,2022,57,-0.14544844210731733,-0.2599546548645354,7,-0.1449886432917824,57,57,0
Priority assets,e20-x55-s0,normal,2023,58,0.07084053997452522,-0.1074292584733692,48,0.07058973575106997,58,58,0
Priority assets,e20-x55-s0,normal,2024,58,0.07663450968249641,-0.10113551293390782,42,0.07723324919253904,58,58,0
Priority assets,e20-x55-s0,normal,2025,60,0.05009191411337899,-0.12998638379450111,45,0.05005678379996603,60,60,0
Priority assets,e20-x55-s0,normal,2026,60,0.033613980115752784,-0.1375402281492551,35,0.022609144224864486,60,60,0
Priority assets,e20-x55-s0,double,2020,56,0.10507529116401948,-0.152674176507144,43,0.10469711890990807,56,56,0
Priority assets,e20-x55-s0,double,2021,56,0.17527582720943202,-0.08823034045093497,39,0.17514570208677627,56,56,0
Priority assets,e20-x55-s0,double,2022,57,-0.15028401167575967,-0.2609705282454182,7,-0.14981030371598092,57,57,0
Priority assets,e20-x55-s0,double,2023,58,0.06564101952493528,-0.10961567969194314,48,0.06540918355379255,58,58,0
Priority assets,e20-x55-s0,double,2024,58,0.07383260319046236,-0.10123723414384717,42,0.07440878252044958,58,58,0
Priority assets,e20-x55-s0,double,2025,60,0.047549129563595804,-0.13118786160253199,45,0.047515821442866035,60,60,0
Priority assets,e20-x55-s0,double,2026,60,0.028832470839067592,-0.14036557481501044,34,0.019403291020417934,60,60,0
Priority assets,e20-x55-s3,normal,2020,56,0.1298937357536767,-0.1340517097600839,46,0.12942158593232733,55,56,0
Priority assets,e20-x55-s3,normal,2021,56,0.11204706473498194,-0.08674987780455973,38,0.11196616166505458,56,56,0
Priority assets,e20-x55-s3,normal,2022,57,-0.12760735984042315,-0.24052405946030597,8,-0.12719968324791253,55,57,0
