id,scope,window,book,method,cost,ending,net,cagr,drawdown,average_gross,maximum_gross,funding_deficit_days,stale_position_days,maximum_stale_gross,fees,slippage,borrow,largest_symbol_fraction,largest_group_fraction,entries,closed_trades,assets_funded,long_contribution,short_contribution,max_identity_error,max_entry_budget_error,scaled_cap_requests,scaled_funding_requests,unfunded,sleeve_deficit_days,same_day_round_trips
priority__full__long-channel__equal__normal,priority,full,long-channel,equal,normal,329399.16545350413,2.2939916545350414,0.11821169227883455,-0.20922449432639822,0.829093878574704,1.0,0,0,0.0,2847.58688412461,5842.306263146323,0.0,0.10706197879499356,0.7953504369338226,884,836,60,2.3808905860077494,0.0,3.4924596548080444e-10,4.547473508864641e-13,0,60,21,0,0
priority__full__long-channel__inverse-vol__normal,priority,full,long-channel,inverse-vol,normal,158102.9007783612,0.581029007783612,0.04386857576342207,-0.07922147880042307,0.7829976321024052,1.0,0,0,0.0,1290.1697334560438,1242.7444187711146,0.0,0.1924420700530503,0.8109640449246973,886,838,60,0.6063581493058834,0.0,8.731149137020111e-11,1.1368683772161603e-13,0,47,19,0,0
priority__full__long-channel__capped-vol__normal,priority,full,long-channel,capped-vol,normal,148438.21403879515,0.4843821403879516,0.037715453953965916,-0.07613324609299887,0.5375640274467556,0.7368766023597859,0,0,0.0,1044.851148071541,1174.51369347586,0.0,0.10583917881565398,0.42096921907556045,885,838,60,0.5065757888034242,0.0,2.0372681319713593e-10,0.0,122,11,20,0,0
priority__full__long-initial__equal__normal,priority,full,long-initial,equal,normal,322412.57679780526,2.2241257679780526,0.11596710123665854,-0.1826841664024783,0.8033130891134627,1.0,0,0,0.0,3331.5391337173296,6618.177084482118,0.0,0.10944877279657804,0.7960408486732147,1047,1003,60,2.323622930160045,0.0,5.238689482212067e-10,9.094947017729282e-13,0,70,19,0,0
priority__full__long-initial__inverse-vol__normal,priority,full,long-initial,inverse-vol,normal,156347.1570073674,0.5634715700736741,0.042776576487142615,-0.06483395703805028,0.7625478779419884,1.0,0,0,0.0,1485.6729079536603,1403.2420149270347,0.0,0.19176803981581192,0.8081527893980204,1046,1002,60,0.5923607193024815,0.0,1.6007106751203537e-10,3.637978807091713e-12,0,61,20,0,0
priority__full__long-initial__capped-vol__normal,priority,full,long-initial,capped-vol,normal,147337.30244499553,0.4733730244499552,0.03699167020289407,-0.06346639784206998,0.5322307048826855,0.7377093858501956,0,0,0.0,1166.9481953917941,1313.629919833615,0.0,0.10500303550410556,0.4142853935070516,1036,993,60,0.4981788056022089,0.0,1.7462298274040222e-10,0.0,150,20,30,0,0
priority__full__short-reference__equal__normal,priority,full,short-reference,equal,normal,53005.904331417274,-0.46994095668582725,-0.05775892988659603,-0.4714495423759576,0.1756842214805891,0.8377850818982732,0,0,0.0,3173.0492609927855,5733.1958818554085,2772.235231295239,0.02088755816067825,0.6552335827435191,2486,2468,60,0.0,-0.3531561529444325,4.132743924856186e-09,0.0,0,0,0,0,61
priority__full__short-reference__inverse-vol__normal,priority,full,short-reference,inverse-vol,normal,79090.66869122766,-0.2090933130877234,-0.021745864013453575,-0.20919427457150963,0.14276882207091296,0.7981612900843934,0,0,0.0,2705.9108844464126,2436.213657438725,2751.4652694101014,0.16148775466745013,0.6725184930082062,2486,2468,60,0.0,-0.1301574149747569,1.7316779121756554e-09,0.0,0,0,0,0,61
priority__full__short-reference__capped-vol__normal,priority,full,short-reference,capped-vol,normal,79346.34571371916,-0.20653654286280843,-0.021449897468277745,-0.20663783131756353,0.13325096422692898,0.5638033006220616,0,0,0.0,2533.0723578246634,2400.453341915397,2568.6220474058305,0.10117831489158896,0.4030470203608549,2481,2463,60,0.0,-0.13151506539134628,1.8917489796876907e-09,0.0,120,5,5,0,61
priority__full__combined-channel__equal__normal,priority,full,combined-channel,equal,normal,191202.5348924607,0.9120253489246071,0.06263289877556266,-0.15768833535009752,0.6328943523984836,0.9397768679177965,0,0,0.0,3010.318072558698,5787.751072500865,1386.1176156476195,0.08936930337797573,0.6542735047310612,3370,3304,60,1.1904452930038747,-0.17657807647221624,2.066371962428093e-09,2.2737367544323206e-13,0,60,21,0,61
